product_id,duplicate_count,title,brand,product_type_1,first_array_index
"hm-kaggle-0626816002",2,"Dallas ISW 31","H&M","Tops",0
"hm-kaggle-0626816003",2,"Dallas ISW 31","H&M","Tops",1
"hm-kaggle-0626816004",2,"Dallas ISW 31","H&M","Tops",2
"hm-kaggle-0626816007",2,"Dallas ISW 31","H&M","Tops",3
"hm-kaggle-0626816008",2,"Dallas ISW 31","H&M","Tops",4
"hm-kaggle-0626816009",2,"Dallas ISW 31","H&M","Tops",5
"hm-kaggle-0626825001",2,"BYN Lonely planet strap","H&M","Tops",6
"hm-kaggle-0626826001",2,"BYN Quick fix top","H&M","Tops",7
"hm-kaggle-0626894001",2,"BYN Etsu dress","H&M","Dresses",8
"hm-kaggle-0626908001",2,"Bill loose check","H&M","Tops",9
"hm-kaggle-0626990001",2,"Jonquille","H&M","Bottoms",10
"hm-kaggle-0626990003",2,"Jonquille","H&M","Bottoms",11
"hm-kaggle-0627139001",2,"Camilla","H&M","Tops",12
"hm-kaggle-0627139002",2,"Camilla","H&M","Tops",13
"hm-kaggle-0627143001",2,"Aria","H&M","Bottoms",14
"hm-kaggle-0627143002",2,"Aria","H&M","Bottoms",15
"hm-kaggle-0627197001",2,"Gaby Blouse","H&M","Tops",16
"hm-kaggle-0627197002",2,"Gaby Blouse","H&M","Tops",17
"hm-kaggle-0627197003",2,"Gaby Blouse","H&M","Tops",18
"hm-kaggle-0627197005",2,"Gaby Blouse","H&M","Tops",19
"hm-kaggle-0627360001",2,"Narnia blazer","H&M","Outerwear",20
"hm-kaggle-0627360003",2,"Narnia blazer","H&M","Outerwear",21
"hm-kaggle-0627360005",2,"Narnia blazer","H&M","Outerwear",22
"hm-kaggle-0627378001",2,"East jacket","H&M","Outerwear",23
"hm-kaggle-0627389005",2,"Venice","H&M","Tops",24
"hm-kaggle-0627389006",2,"Venice","H&M","Tops",25
"hm-kaggle-0627404001",2,"ALABASTER crewneck","H&M","Tops",26
"hm-kaggle-0627404002",2,"ALABASTER crewneck","H&M","Tops",27
"hm-kaggle-0627408001",2,"The Big V Dress","H&M","Dresses",28
"hm-kaggle-0627408002",2,"The Big V Dress","H&M","Dresses",29
"hm-kaggle-0627408003",2,"The Big V Dress","H&M","Dresses",30
"hm-kaggle-0627412001",2,"CS Greek Godess Dress","H&M","Dresses",31
"hm-kaggle-0627412002",2,"CS Greek Godess Dress","H&M","Dresses",32
"hm-kaggle-0627734001",2,"W Temple top EQ","H&M","Tops",33
"hm-kaggle-0627815001",2,"W Harry blouse EQ","H&M","Tops",34
"hm-kaggle-0627815002",2,"W Harry blouse EQ","H&M","Tops",35
"hm-kaggle-0628323001",2,"RIDGE liner jacket","H&M","Outerwear",36
"hm-kaggle-0628426001",2,"Killa Top","H&M","Tops",37
"hm-kaggle-0630116008",2,"SUPREME TIGHTS","H&M","Bottoms",38
"hm-kaggle-0628426002",2,"Killa Top","H&M","Tops",39
"hm-kaggle-0628426003",2,"Killa Top","H&M","Tops",40
"hm-kaggle-0628466001",2,"Aisle Body - repaet","H&M","Tops",41
"hm-kaggle-0628466002",2,"Aisle Body - repaet","H&M","Tops",42
"hm-kaggle-0628476001",2,"LOGG Barb. cardigan","H&M","Tops",43
"hm-kaggle-0628561001",2,"THYME jacket2","H&M","Outerwear",44
"hm-kaggle-0628586001",2,"PUMPKIN sports bra","H&M","Underwear",45
"hm-kaggle-0628586002",2,"PUMPKIN sports bra","H&M","Underwear",46
"hm-kaggle-0628593001",2,"ACE jkt","H&M","Outerwear",47
"hm-kaggle-0628631001",2,"Blake Slim LInen Blz","H&M","Outerwear",48
"hm-kaggle-0628631002",2,"Blake Slim LInen Blz","H&M","Outerwear",49
"hm-kaggle-0628631003",2,"Blake slim fit linen blz","H&M","Outerwear",50
"hm-kaggle-0628631004",2,"Blake Slim LInen Blz","H&M","Outerwear",51
"hm-kaggle-0628631005",2,"Blake Slim LInen Blz","H&M","Outerwear",52
"hm-kaggle-0628631007",2,"Blake Slim LInen Blz","H&M","Outerwear",53
"hm-kaggle-0628631009",2,"Blake Slim LInen Blz","H&M","Outerwear",54
"hm-kaggle-0628642001",2,"Blake Slim fit trs","H&M","Bottoms",55
"hm-kaggle-0628642002",2,"Blake Slim fit trs","H&M","Bottoms",56
"hm-kaggle-0628642003",2,"Blake Slim fit trs","H&M","Bottoms",57
"hm-kaggle-0628642004",2,"Blake Slim fit trs","H&M","Bottoms",58
